Ticker,Company Name,Sector,Subsector,Country,Exchange,Market Cap,Enterprise Value,Book Value,Revenue Growth (YoY),EPS Growth (YoY),P/E Ratio,PEG Ratio,P/B Ratio,P/S Ratio,ROE,Net Profit Margin,Current Ratio,Quick Ratio,Debt-to-Equity Ratio,Free Cash Flow Margin
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,NYQ,1086627774464.0,3848601337856.0,176.001,0.416,0.603,25.061005,,1.1903908,0.34595874,0.31641,,2.39,2.105,23.492,0.2219602428647545
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,United States,NMS,1715653050368.0,1694940135424.0,73.337,0.161,0.365,26.664711,,9.304307,10.07075,0.39835,,2.662,2.501,26.763,0.21518548994614226
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,NMS,3548294676480.0,3573697478656.0,43.3,0.133,0.177,36.893356,,11.025404,13.141345,0.3361,,1.372,1.244,32.626,0.20301840649903705
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,NMS,1175820566528.0,132124893184.0,59.221,0.164,1.881,90.90546,,4.221307,20.611797,0.18977,,1.077,0.887,166.032,0.45838007025940375
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,NMS,3508156497920.0,3466534060032.0,3.438,0.692,0.267,46.254025,,41.84119,23.621565,1.15463,,3.388,2.857,12.267,0.373315845225335
ORCL,Oracle Corporation,Technology,Software - Infrastructure,United States,NYQ,576287604736.0,671621251072.0,7.286,0.113,0.073,47.16552,,28.159485,10.040029,0.82382005,,0.753,0.632,505.594,0.016446279240168785
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,NMS,2226152800256.0,2289530830848.0,28.82,0.086,0.622,34.151466,,7.2758503,3.423202,0.2524,,1.048,0.807,51.641,0.06039168868372221
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,NMS,2028092129280.0,1955346382848.0,28.405,0.12,0.488,18.57748,,5.866573,5.638084,0.34789002,,1.768,1.597,8.254,0.1686872527344394
TCEHY,Tencent Holdings Limited,Communication Services,Internet Content & Information,China,PNK,585073819648.0,691972997120.0,114.26,0.129,0.169,22.45965,,0.56021357,0.8594194,0.19958,,1.305,1.045,36.034,0.18897074495121607
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,United States,NMS,1037664518144.0,1014560260096.0,23.184,-0.092,-0.707,185.14943,,13.89579,10.840171,0.087740004,,1.996,1.376,17.407,0.03510091391066147
SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,Luxembourg,NYQ,145060708352.0,140281954304.0,30.465,0.152,0.103,109.847824,,23.220745,8.9394655,0.24404,,1.484,1.3,34.865,0.0715628289332529
CRWD,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,United States,NMS,118716817408.0,114928287744.0,13.855,0.198,,,,34.37748,28.70314,-0.05738,,1.849,1.652,22.498,0.3169053305155327
ARM,Arm Holdings plc,Technology,Semiconductors,United Kingdom,NMS,153635061760.0,150767747072.0,6.473,0.337,-0.041,193.38666,,22.40692,38.341667,0.13054,,5.199,5.084,5.205,-0.007892438107033682
